query,doc_id,relevance
photosynthesis,Doc1,3
photosynthesis,Doc4,2
photosynthesis,Doc2,1
photosynthesis,Doc5,0
photosynthesis,Doc3,0
light energy conversion in plants,Doc1,3
light energy conversion in plants,Doc4,2
light energy conversion in plants,Doc2,1
light energy conversion in plants,Doc5,0
light energy conversion in plants,Doc3,0
chlorophyll and oxygen production,Doc1,3
chlorophyll and oxygen production,Doc4,2
chlorophyll and oxygen production,Doc2,1
chlorophyll and oxygen production,Doc5,0
chlorophyll and oxygen production,Doc3,0
plant energy from sunlight,Doc1,3
plant energy from sunlight,Doc4,2
plant energy from sunlight,Doc2,1
plant energy from sunlight,Doc5,0
plant energy from sunlight,Doc3,0
photosynthetic process in green plants,Doc1,3
photosynthetic process in green plants,Doc4,2
photosynthetic process in green plants,Doc2,1
photosynthetic process in green plants,Doc5,0
photosynthetic process in green plants,Doc3,0
cell biology,Doc2,3
cell biology,Doc5,2
cell biology,Doc1,1
cell biology,Doc4,0
cell biology,Doc3,0
cell membrane DNA and cytoplasm,Doc2,3
cell membrane DNA and cytoplasm,Doc5,2
cell membrane DNA and cytoplasm,Doc1,1
cell membrane DNA and cytoplasm,Doc4,0
cell membrane DNA and cytoplasm,Doc3,0
prokaryotic and eukaryotic cells,Doc2,3
prokaryotic and eukaryotic cells,Doc5,2
prokaryotic and eukaryotic cells,Doc1,1
prokaryotic and eukaryotic cells,Doc4,0
prokaryotic and eukaryotic cells,Doc3,0
smallest unit of life,Doc2,3
smallest unit of life,Doc5,2
smallest unit of life,Doc1,1
smallest unit of life,Doc4,0
smallest unit of life,Doc3,0
cell structure and function,Doc2,3
cell structure and function,Doc5,2
cell structure and function,Doc1,1
cell structure and function,Doc4,0
cell structure and function,Doc3,0
newton's laws of motion,Doc3,3
newton's laws of motion,Doc4,2
newton's laws of motion,Doc12,1
newton's laws of motion,Doc1,0
newton's laws of motion,Doc5,0
force mass and acceleration,Doc3,3
force mass and acceleration,Doc4,2
force mass and acceleration,Doc12,1
force mass and acceleration,Doc1,0
force mass and acceleration,Doc5,0
inertia and motion in physics,Doc3,3
inertia and motion in physics,Doc4,2
inertia and motion in physics,Doc12,1
inertia and motion in physics,Doc1,0
inertia and motion in physics,Doc5,0
action and reaction forces,Doc3,3
action and reaction forces,Doc4,2
action and reaction forces,Doc12,1
action and reaction forces,Doc1,0
action and reaction forces,Doc5,0
classical mechanics basics,Doc3,3
classical mechanics basics,Doc4,2
classical mechanics basics,Doc12,1
classical mechanics basics,Doc1,0
classical mechanics basics,Doc5,0
states of matter,Doc4,3
states of matter,Doc3,2
states of matter,Doc12,1
states of matter,Doc1,0
states of matter,Doc5,0
solid liquid and gas,Doc4,3
solid liquid and gas,Doc3,2
solid liquid and gas,Doc12,1
solid liquid and gas,Doc1,0
solid liquid and gas,Doc5,0
phase changes in matter,Doc4,3
phase changes in matter,Doc3,2
phase changes in matter,Doc12,1
phase changes in matter,Doc1,0
phase changes in matter,Doc5,0
particle arrangement and energy,Doc4,3
particle arrangement and energy,Doc3,2
particle arrangement and energy,Doc12,1
particle arrangement and energy,Doc1,0
particle arrangement and energy,Doc5,0
temperature and state transitions,Doc4,3
temperature and state transitions,Doc3,2
temperature and state transitions,Doc12,1
temperature and state transitions,Doc1,0
temperature and state transitions,Doc5,0
circulatory system,Doc5,3
circulatory system,Doc2,1
circulatory system,Doc1,0
circulatory system,Doc4,0
circulatory system,Doc3,0
cardiovascular system heart blood vessels,Doc5,3
cardiovascular system heart blood vessels,Doc2,1
cardiovascular system heart blood vessels,Doc1,0
cardiovascular system heart blood vessels,Doc4,0
cardiovascular system heart blood vessels,Doc3,0
oxygen transport in the body,Doc5,3
oxygen transport in the body,Doc2,1
oxygen transport in the body,Doc1,0
oxygen transport in the body,Doc4,0
oxygen transport in the body,Doc3,0
blood circulation and nutrients,Doc5,3
blood circulation and nutrients,Doc2,1
blood circulation and nutrients,Doc1,0
